q_A^-1,intensity,sigma,intensity_fit
1.258855845347394038e-02,1.341307811737060547e+02,2.157222804786790515e+00,1.335602423122214759e+02
1.281189460780202474e-02,1.261341056823730469e+02,2.010389047805214435e+00,1.298634064681741620e+02
1.303919301388548752e-02,1.186291332244873047e+02,1.874237922929756328e+00,1.218417051917673604e+02
1.327052396683181881e-02,1.115820980072021484e+02,1.747986861749154075e+00,1.100682241182132373e+02
1.350595900886817843e-02,1.049620208740234375e+02,1.630892121677221196e+00,1.007355752778835125e+02
1.374557095146680674e-02,9.874057769775390625e+01,1.522245126321439379e+00,9.761657687739860023e+01
1.398943389786295836e-02,9.289174270629882812e+01,1.421386634881696365e+00,9.658849245479660794e+01
1.423762326597232709e-02,8.739171981811523438e+01,1.327666798258232195e+00,9.094709722771875704e+01
1.449021581171507089e-02,8.221865844726562500e+01,1.240521927786974787e+00,8.100206168497339831e+01
1.474728965275358059e-02,7.735247802734375000e+01,1.159421129157274022e+00,7.327312693210353700e+01
1.500892429265147411e-02,7.277462387084960938e+01,1.083866477259696204e+00,7.158639765244492992e+01
1.527520064546111778e-02,6.846794509887695312e+01,1.013451701160907659e+00,7.173664299471627714e+01
1.554620106074739751e-02,6.441652297973632812e+01,9.477769238655842088e-01,6.765697599331650736e+01
1.582200934905544226e-02,6.060548400878906250e+01,8.865186826885598226e-01,5.977913624097033818e+01
1.610271080783016659e-02,5.702088546752929688e+01,8.293930996929980148e-01,5.361943458870079127e+01
1.638839224779563980e-02,5.364968490600585938e+01,7.761085703298560290e-01,5.243680777325896969e+01
1.667914201980251476e-02,5.047952651977539062e+01,7.264601112331569022e-01,5.298457705957665098e+01
1.697505004215169727e-02,4.749872589111328125e+01,6.801896268444534988e-01,5.029900594214095833e+01
1.727620782840279950e-02,4.469611358642578125e+01,6.371140452388606157e-01,4.430921889890096566e+01
1.758270851567595924e-02,4.206125640869140625e+01,5.970176326633389596e-01,3.937937441421472329e+01
1.789464689345575052e-02,3.958414459228515625e+01,5.597126032547306007e-01,3.837361143942653996e+01
1.821211943290607788e-02,3.725524520874023438e+01,5.250238322343686592e-01,3.906819555183231785e+01
1.853522431670525869e-02,3.506548309326171875e+01,4.927684443489596666e-01,3.741584396102936694e+01
1.886406146941029330e-02,3.300644302368164062e+01,4.627587496745908524e-01,3.288919260641031173e+01
1.919873258835989166e-02,3.106996917724609375e+01,4.348544102964771452e-01,2.899265588260968940e+01
1.953934117512577326e-02,2.924844741821289062e+01,4.088987419304976889e-01,2.823508833399483819e+01
1.988599256752190611e-02,2.753472518920898438e+01,3.847656250000000000e-01,2.880806156609707003e+01
2.023879397218167342e-02,2.592216110229492188e+01,3.622928422086544864e-01,2.768365733606455592e+01
2.059785449771293214e-02,2.440446472167968750e+01,3.413669170706389866e-01,2.450979820736266390e+01
2.096328518844138566e-02,2.297580718994140625e+01,3.218688371679429006e-01,2.145316102591880281e+01
2.133519905875250547e-02,2.163079071044921875e+01,3.037030872176752494e-01,2.074212741948749539e+01
