q_A^-1,intensity,sigma,intensity_fit
1.758270851567595924e-02,4.299045944213867188e+01,6.152157735283181328e-01,4.027877772145636470e+01
1.789464689345575052e-02,4.043850326538085938e+01,5.767046001210509587e-01,3.921316035012898737e+01
1.821211943290607788e-02,3.804286956787109375e+01,5.408781131648620066e-01,3.987525204026231762e+01
1.853522431670525869e-02,3.579442977905273438e+01,5.075419952606138319e-01,3.817058248937421894e+01
1.886406146941029330e-02,3.368445587158203125e+01,4.765584976778657333e-01,3.356423608382922907e+01
1.919873258835989166e-02,3.170453262329101562e+01,4.477174301016176305e-01,2.960155289552623969e+01
1.953934117512577326e-02,2.984656715393066406e+01,4.208791777060995054e-01,2.882033973756107770e+01
1.988599256752190611e-02,2.810286140441894531e+01,3.959355807841212216e-01,2.938905711337469739e+01
2.023879397218167342e-02,2.646604919433593750e+01,3.726990361313041178e-01,2.824743064598304798e+01
2.059785449771293214e-02,2.492912101745605469e+01,3.510304133180182640e-01,2.503698801697903420e+01
2.096328518844138566e-02,2.348549270629882812e+01,3.309379979635063695e-01,2.194495821767134913e+01
2.133519905875250547e-02,2.212895584106445312e+01,3.122068937920013387e-01,2.122676065575539894e+01
2.171371112804276401e-02,2.085369491577148438e+01,2.947795600337171917e-01,2.180969474900885885e+01
2.209893845629094800e-02,1.965427780151367188e+01,2.785652020216160540e-01,2.090251429224355917e+01
2.249100018026054665e-02,1.852567100524902344e+01,2.634620113893320070e-01,1.868321924596348538e+01
2.289001755034435551e-02,1.746324157714843750e+01,2.493812533481303551e-01,1.645538023997749022e+01
2.329611396806288703e-02,1.646265983581542969e+01,2.362554769537100197e-01,1.565979605977506139e+01
2.370941502422790198e-02,1.551999664306640625e+01,2.240907735822416647e-01,1.623007521283344801e+01
2.413004853778307271e-02,1.463161087036132812e+01,2.127830863713164600e-01,1.549770165097186769e+01
2.455814459533374114e-02,1.379417037963867188e+01,2.022592729062440420e-01,1.391318009657718235e+01
2.499383559137794211e-02,1.300464248657226562e+01,1.924794530430456174e-01,1.240778799808252231e+01
2.543725626925121344e-02,1.226020431518554688e+01,1.833754520007636613e-01,1.156468828073826316e+01
2.588854376279775202e-02,1.155826568603515625e+01,1.750527438652865753e-01,1.208990321302738380e+01
2.634783763878096111e-02,1.089640998840332031e+01,1.673544362250930784e-01,1.149094008275594092e+01
2.681527994004637844e-02,1.027244377136230469e+01,1.602395934060052429e-01,1.035641960078755730e+01
2.729101522945025227e-02,9.684238433837890625e+00,1.536403159320088863e-01,9.344070089150383396e+00
2.777519063456760501e-02,9.129894256591796875e+00,1.477161750092893522e-01,8.555836769839643807e+00
2.826795589319353735e-02,8.607534408569335938e+00,1.422030597599015234e-01,8.996270627037771916e+00
2.876946339965144941e-02,8.115383148193359375e+00,1.371644520787456134e-01,8.539674598337803957e+00
2.927986825192328488e-02,7.651824951171875000e+00,1.324961766105205441e-01,7.706268334599047698e+00
2.979932829961547472e-02,7.215225219726562500e+00,1.281940553236088909e-01,7.024954398171008307e+00
3.032800419277615483e-02,6.804080963134765625e+00,1.242500697544447058e-01,6.345627210010684749e+00
3.086605943157845824e-02,6.416864395141601562e+00,1.206202941925352407e-01,6.686468943266260290e+00
3.141366041688492539e-02,6.052206039428710938e+00,1.172363179567103009e-01,6.384117848628658720e+00
3.197097650170950545e-02,5.708778381347656250e+00,1.141534312203316970e-01,5.731672554664442032e+00
3.253818004359197713e-02,5.385280609130859375e+00,1.112424286398292356e-01,5.298590042886237583e+00
3.311544645790212571e-02,5.080493927001953125e+00,1.087453977115238613e-01,4.698329866528773380e+00
