# Q(1/A)  I_MAP  dI_MAP
1.580403273484533603e-03 2.929882219062522054e+05 8.285042004063821878e+03
1.608441526688189974e-03 2.763144675049781799e+05 7.911548393883101198e+03
1.636977212196565187e-03 2.604601390951946378e+05 7.551059149589645131e+03
1.666019155056495992e-03 2.454025088341012597e+05 7.203376853360501627e+03
1.695576336881754334e-03 2.311176620284914970e+05 6.868317188319900197e+03
1.725657898630738197e-03 2.175806775669977069e+05 6.545704145712579702e+03
1.756273143433425979e-03 2.047658051321879029e+05 6.235365242672015484e+03
1.787431539468507758e-03 1.926466381031945348e+05 5.937126839327437665e+03
1.819142722891536066e-03 1.811962811306342483e+05 5.650809649185339367e+03
1.851416500815041824e-03 1.703875114439949393e+05 5.376224536765029370e+03
1.884262854341524004e-03 1.601929330336228013e+05 5.113168696737467144e+03
1.917691941650225256e-03 1.505851229404509068e+05 4.861422310327375271e+03
1.951714101138703325e-03 1.415367689795345068e+05 4.620745767554398299e+03
1.986339854620105747e-03 1.330207983200699091e+05 4.390877541105218370e+03
2.021579910577188648e-03 1.250104964457824826e+05 4.171532786696224321e+03
2.057445167474067794e-03 1.174796161163002253e+05 3.962402730666089610e+03
2.093946717126699344e-03 1.104024760552346706e+05 3.763154887218993281e+03
2.131095848133192101e-03 1.037540491878837347e+05 3.573434125117754320e+03
2.168904049364943701e-03 9.751004034908115864e+04 3.392864574367868499e+03
2.207383013519737241e-03 9.164695348027348518e+04 3.221052334137355956e+03
2.246544640737869070e-03 8.614214841999113560e+04 3.057588909120970129e+03
2.286401042282424495e-03 8.097388748694956303e+04 2.902055270218801979e+03
2.326964544284845001e-03 7.612137212796509266e+04 2.754026402808833609e+03
2.368247691556956639e-03 7.156476998662948608e+04 2.613076185826049368e+03
2.410263251470628337e-03 6.728523280747234821e+04 2.478782421827631424e+03
2.453024217906239323e-03 6.326490566202998161e+04 2.350731835864402456e+03
2.496543815271229805e-03 5.948692802989482880e+04 2.228524859617766651e+03
2.540835502589913666e-03 5.593542731611430645e+04 2.111780030738021196e+03
2.585912977665867640e-03 5.259550542336702347e+04 2.000137861993512843e+03
2.631790181318170718e-03 4.945321902868151665e+04 1.893264058837514767e+03
2.678481301692784387e-03 4.649555423086881638e+04 1.790852004481288986e+03
2.726000778650423343e-03 4.371039625395834446e+04 1.692624463072189428e+03
2.774363308232286659e-03 4.108649489216506481e+04 1.598334491145112679e+03
2.823583847205000767e-03 3.861342637822031975e+04 1.507765578215888127e+03
2.873677617686211036e-03 3.628155235251784325e+04 1.420731068979225938e+03
2.924660111852222730e-03 3.408197658911347389e+04 1.337072938310477184e+03
2.976547096729158064e-03 3.200650010728836060e+04 1.256660011443535723e+03
3.029354619069133791e-03 3.004757527807354927e+04 1.179385726716587214e+03
3.083099010312928198e-03 2.819825949242711067e+04 1.105165546182144908e+03
3.137796891640710472e-03 2.645216892209649086e+04 1.033934118256465808e+03
3.193465179112360292e-03 2.480343285807967186e+04 9.656422884759450653e+02
3.250121088898979237e-03 2.324664907538890839e+04 9.002540503709775521e+02
3.307782142607233744e-03 2.177684060534834862e+04 8.377435176214934245e+02
3.366466172698157240e-03 2.038941427618265152e+04 7.780919826013627016e+02
3.426191328002056377e-03 1.908012130039930344e+04 7.212851235602321367e+02
3.486976079331312057e-03 1.784502015572786331e+04 6.673104010264295312e+02
3.548839225192700671e-03 1.668044195872545242e+04 6.161546789703485274e+02
3.611799897601099089e-03 1.558295846638083458e+04 5.678020918686329424e+02
3.675877567996325892e-03 1.454935280326008797e+04 5.222321728283658331e+02
3.741092053264940751e-03 1.357659296885132790e+04 4.794182421422266884e+02
3.807463521868875884e-03 1.266180812972784042e+04 4.393260602715643017e+02
3.875012500082818633e-03 1.180226766934990883e+04 4.019127266506374099e+02
3.943759878342231219e-03 1.099536292856931686e+04 3.671258230904745119e+02
4.013726917704013054e-03 1.023859153592586517e+04 3.349027817704861150e+02
4.084935256421760169e-03 9.529544210255146027e+03 3.051704709037974794e+02
4.157406916637682200e-03 8.865893872022628784e+03 2.778449925442187691e+02
4.231164311193260329e-03 8.245386919766664505e+03 2.528317028094501495e+02
4.306230250560711369e-03 7.665836456149816513e+03 2.300254661393643119e+02
4.382627949897448076e-03 7.125117290824651718e+03 2.093111825550133460e+02
4.460381036225673744e-03 6.621162516325712204e+03 1.905646293723850420e+02
4.539513555739347998e-03 6.151961438000202179e+03 1.736536700729983806e+02
4.620049981240807561e-03 5.715558663487434387e+03 1.584398664248856221e+02
4.702015219709324879e-03 5.310054154992103577e+03 1.447805142168845691e+02
4.785434620003895315e-03 4.933604028284549713e+03 1.325310690531611897e+02
4.870333980702753508e-03 4.584421940952539444e+03 1.215478688042622792e+02
4.956739558081899207e-03 4.260780862182378769e+03 1.116910002618373312e+02
5.044678074235219023e-03 3.961015098005533218e+03 1.028271015407868845e+02
5.134176725338668312e-03 3.683522399008274078e+03 9.483187798945991176e+01
5.225263190061041514e-03 3.426766033470630646e+03 8.759212709870273272e+01
5.317965638123972084e-03 3.189276705652475357e+03 8.100712050235163986e+01
5.412312739013808334e-03 2.969654229074716568e+03 7.498928214739224529e+01
5.508333670848032312e-03 2.766568889260292053e+03 6.946417210261776631e+01
5.606058129399006836e-03 2.578762386769056320e+03 6.436986620533686221e+01
5.705516337277777641e-03 2.405048391044139862e+03 5.965586537176704240e+01
5.806739053280818123e-03 2.244312611788511276e+03 5.528168659458301448e+01
5.909757581902620564e-03 2.095512401670217514e+03 5.121528350289810305e+01
6.014603783017019589e-03 1.957675889492034912e+03 4.743143063444354368e+01
6.121310081730308751e-03 1.829900668144226074e+03 4.391016354750406236e+01
6.229909478409132242e-03 1.711352019667625427e+03 4.063536348056645409e+01
6.340435558886282907e-03 1.601260763436555862e+03 3.759351889776288402e+01
6.452922504847585436e-03 1.498920724809169769e+03 3.477270134048265504e+01
6.567405104403065304e-03 1.403685901641845703e+03 3.216176351096142838e+01
6.683918762845597952e-03 1.314967351406812668e+03 2.974975047287358620e+01
