# Q(1/A)  I_MAP  dI_MAP
2.094281681623494547e-03 9.894696518361568451e+04 3.397610937073778132e+03
2.131124662228754338e-03 9.312432534910738468e+04 3.228454851300066366e+03
2.168615791185685149e-03 8.764983166450262070e+04 3.067376509614266070e+03
2.206766470836844535e-03 8.250310975466668606e+04 2.914034914116507480e+03
2.245588304116860785e-03 7.766458140516281128e+04 2.768074607368038414e+03
2.285093098081271163e-03 7.311549845620989799e+04 2.629129196189760478e+03
2.325292867497464125e-03 6.883796816059947014e+04 2.496825370818995907e+03
2.366199838498778910e-03 6.481497036340832710e+04 2.370787280011539679e+03
2.407826452302896589e-03 6.103036693707108498e+04 2.250641099402196687e+03
2.450185368995639289e-03 5.746890393298864365e+04 2.136019627112142189e+03
2.493289471381340307e-03 5.411620697182416916e+04 2.026566730642027778e+03
2.537151868900946929e-03 5.095877040782570839e+04 1.921941488242687228e+03
2.581785901619051624e-03 4.798394084250926971e+04 1.821821878227901152e+03
2.627205144281072845e-03 4.517989557769894600e+04 1.725907900984217804e+03
2.673423410441788488e-03 4.253561660659313202e+04 1.633924045340565272e+03
2.720454756666523029e-03 4.004086074766516685e+04 1.545621047167692268e+03
2.768313486806230420e-03 3.768612652629613876e+04 1.460776921903111088e+03
2.817014156347783741e-03 3.546261839967966080e+04 1.379197281846899386e+03
2.866571576840812579e-03 3.336220889478921890e+04 1.300714978808443220e+03
2.917000820402386972e-03 3.137739923709630966e+04 1.225189137218790165e+03
2.968317224300977795e-03 2.950127897495031357e+04 1.152503651990090020e+03
3.020536395621046654e-03 2.772748514175415039e+04 1.082565245311756371e+03
3.073674216009695571e-03 2.605016137897968292e+04 1.015301173977833969e+03
3.127746846506824097e-03 2.446391750174760818e+04 9.506566845771952785e+02
3.182770732460255773e-03 2.296378985464572906e+04 8.885923068624294956e+02
3.238762608527337092e-03 2.154520284456014633e+04 8.290810703445190484e+02
3.295739503764519903e-03 2.020393193423748016e+04 7.721057186674310060e+02
3.353718746806481563e-03 1.893606837713718414e+04 7.176559916855645724e+02
3.412717971136373148e-03 1.773798589396476746e+04 6.657260243463784946e+02
3.472755120448746576e-03 1.660630949902534485e+04 6.163119108999771925e+02
3.533848454106864549e-03 1.553788656586408615e+04 5.694094659618070864e+02
3.596016552695994496e-03 1.452976027160882950e+04 5.250122053889248264e+02
3.659278323674417313e-03 1.357914544409513474e+04 4.831095594063219210e+02
3.723653007123814071e-03 1.268340681785345078e+04 4.436853272626257194e+02
3.789160181600854330e-03 1.184003973984718323e+04 4.067163666393368544e+02
3.855819770091701692e-03 1.104665318626165390e+04 3.721715137498033528e+02
3.923652046071282769e-03 1.030095511090755463e+04 3.400107219295725258e+02
3.992677639669144941e-03 9.600739933729171753e+03 3.101844065302685749e+02
4.062917543943793744e-03 8.943878135204315186e+03 2.826329848904791220e+02
4.134393121267398996e-03 8.328307728648185730e+03 2.572866046616573499e+02
4.207126109822831653e-03 7.752027539968490601e+03 2.340650659153127435e+02
4.281138630214985537e-03 7.213092061519622803e+03 2.128779478737005491e+02
4.356453192198436568e-03 6.709607764720916748e+03 1.936249758853983565e+02
4.433092701523402325e-03 6.239730665326118469e+03 1.761966673978591871e+02
4.511080466902189431e-03 5.801664958357810974e+03 1.604753155844420576e+02
4.590440207098165325e-03 5.393662602424621582e+03 1.463363589681480619e+02
4.671196058139471391e-03 5.014023611068725586e+03 1.336501697069682564e+02
4.753372580659586018e-03 4.661096951723098755e+03 1.222842546459934567e+02
4.836994767367084648e-03 4.333281865239143372e+03 1.121057977128250798e+02
4.922088050646772177e-03 4.029029491424560547e+03 1.029844126341723012e+02
5.008678310294547784e-03 3.746844620108604431e+03 9.479491447054931541e+01
5.096791881388344075e-03 3.485287546277046204e+03 8.741987802033128219e+01
5.186455562297526654e-03 3.242975790262222290e+03 8.075177772383901242e+01
5.277696622833203538e-03 3.018585758805274963e+03 7.469453160851587370e+01
5.370542812541912077e-03 2.810854090094566345e+03 6.916435823686491347e+01
5.465022369145204791e-03 2.618578821182250977e+03 6.408994767373636137e+01
5.561164027127736206e-03 2.440620141983032227e+03 5.941201011027162338e+01
5.658997026476373857e-03 2.275900838136672974e+03 5.508233029158772354e+01
5.758551121573106391e-03 2.123406340360641479e+03 5.106247422627390620e+01
5.859856590244365629e-03 1.982184403777122498e+03 4.732230286728795932e+01
5.962944242969578021e-03 1.851344374358654022e+03 4.383841756094814457e+01
6.067845432251655138e-03 1.730056114852428436e+03 4.059264486803998295e+01
6.174592062152393923e-03 1.617548553884029388e+03 3.757064304535594346e+01
6.283216597995595204e-03 1.513107911884784698e+03 3.476067281706187373e+01
6.393752076240882473e-03 1.416075658321380615e+03 3.215256834316679857e+01
6.506232114531228065e-03 1.325846166729927063e+03 2.973691456985350356e+01
6.620690921917238118e-03 1.241864220976829529e+03 2.750444119744111759e+01
6.737163309261294530e-03 1.163622252911329269e+03 2.544561488177139452e+01
6.855684699824746674e-03 1.090657546922564507e+03 2.355041631180800721e+01
6.976291140041326541e-03 1.022549266595859081e+03 2.180828930455934156e+01
7.099019310480147484e-03 9.589155205488204956e+02 2.020821477586504145e+01
7.223906537001475829e-03 8.994103162884712219e+02 1.873889970901940316e+01
7.350990802108848046e-03 8.437206403613090515e+02 1.738901585677122341e+01
