# Q(1/A)  I_MAP  dI_MAP
1.041256048600582851e-01 1.777229309082031250e-01 8.128379705736255012e-02
1.059574012578552299e-01 1.712646484375000000e-01 8.128379705736255012e-02
1.078214229478604846e-01 1.650314331054687500e-01 8.126032836997937325e-02
1.097182368432196020e-01 1.590099334716796875e-01 8.114288311656636665e-02
1.116484198303163422e-01 1.532173156738281250e-01 8.123685290267743109e-02
1.136125589442235212e-01 1.476459503173828125e-01 8.118988160479112537e-02
1.156112515472410285e-01 1.423244476318359375e-01 8.111937366130932137e-02
1.176451055105736110e-01 1.372995376586914062e-01 8.123685290267743109e-02
1.197147393992058911e-01 1.325550079345703125e-01 8.135416249866612992e-02
1.218207826600291033e-01 1.281089782714843750e-01 8.144788852341032503e-02
1.239638758132775714e-01 1.239957809448242188e-01 8.149471111337916462e-02
1.261446706473329793e-01 1.202421188354492188e-01 8.161165006162569846e-02
1.283638304169555100e-01 1.168127059936523438e-01 8.168173307158782537e-02
1.306220300450029459e-01 1.137285232543945312e-01 8.170508071621832014e-02
1.329199563276971530e-01 1.109819412231445312e-01 8.172842169104561905e-02
1.352583081435030365e-01 1.085414886474609375e-01 8.165837875143309998e-02
1.376377966656813223e-01 1.063871383666992188e-01 8.172842169104561905e-02
1.400591455785808181e-01 1.045064926147460938e-01 8.158827568048993006e-02
1.425230912977357711e-01 1.028518676757812500e-01 8.158827568048993006e-02
1.450303831938350718e-01 1.013717651367187500e-01 8.165837875143309998e-02
1.475817838206321675e-01 1.000213623046875000e-01 8.172842169104561905e-02
1.501780691468630191e-01 9.875965118408203125e-02 8.184502671780063965e-02
1.528200287922455991e-01 9.752511978149414062e-02 8.193819126329308922e-02
1.555084662676301244e-01 9.629726409912109375e-02 8.217064049985402241e-02
1.582441992193744651e-01 9.500789642333984375e-02 8.233296448577340221e-02
1.610280596780185314e-01 9.362125396728515625e-02 8.244871452814622748e-02
1.638608943113331884e-01 9.212970733642578125e-02 8.263357734885226624e-02
1.667435646818217210e-01 9.048700332641601562e-02 8.263357734885226624e-02
1.696769475087497037e-01 8.869314193725585938e-02 8.270279437398488087e-02
1.726619349347860988e-01 8.674049377441406250e-02 8.267972847076845988e-02
1.756994347973344639e-01 8.463430404663085938e-02 8.270279437398488087e-02
1.787903709046374523e-01 8.240795135498046875e-02 8.263357734885226624e-02
1.819356833167387333e-01 8.007431030273437500e-02 8.267972847076845988e-02
1.851363286313874590e-01 7.767152786254882812e-02 8.274890689185492032e-02
1.883932802749732072e-01 7.522630691528320312e-02 8.281802752778980037e-02
1.917075287985774423e-01 7.280898094177246094e-02 8.302504416731359971e-02
1.950800821792348649e-01 7.044363021850585938e-02 8.323154590883795334e-02
1.985119661264937441e-01 6.818151473999023438e-02 8.346039304383397195e-02
2.020042243943694915e-01 6.606769561767578125e-02 8.371140231147203292e-02
2.055579190987861793e-01 6.413698196411132812e-02 8.387074434993706251e-02
2.091741310406023124e-01 6.243681907653808594e-02 8.405247965371098751e-02
2.128539600343204441e-01 6.098473072052001953e-02 8.412052916936729741e-02
