q_A^-1,intensity,sigma,intensity_fit
2.059785449771293214e-02,2.562407398223876953e+01,3.559459794452005665e-01,2.572377313118935049e+01
2.096328518844138566e-02,2.411762237548828125e+01,3.349595139364793250e-01,2.279742953435669506e+01
2.133519905875250547e-02,2.270267772674560547e+01,3.153556051742916755e-01,2.189886391224642637e+01
2.171371112804276401e-02,2.137362194061279297e+01,2.971382981254530598e-01,2.218999837589651136e+01
2.209893845629094800e-02,2.012510204315185547e+01,2.801355960038593440e-01,2.117059748726515522e+01
2.249100018026054665e-02,1.895204257965087891e+01,2.643509773180049427e-01,1.908388473454837708e+01
2.289001755034435551e-02,1.784970378875732422e+01,2.495953145492156022e-01,1.701369470610658396e+01
2.329611396806288703e-02,1.681355762481689453e+01,2.359080719437194884e-01,1.611193529411667313e+01
2.370941502422790198e-02,1.583939838409423828e+01,2.231610915969322317e-01,1.643920425190425050e+01
2.413004853778307271e-02,1.492324161529541016e+01,2.113891287874834213e-01,1.562772518195931859e+01
2.455814459533374114e-02,1.406140613555908203e+01,2.004214614432078545e-01,1.415161363428414276e+01
2.499383559137794211e-02,1.325038909912109375e+01,1.902768818013551300e-01,1.277635791837750645e+01
2.543725626925121344e-02,1.248698234558105469e+01,1.808408130323548579e-01,1.189400266153439567e+01
2.588854376279775202e-02,1.176814079284667969e+01,1.721743664172221411e-01,1.221497518537435845e+01
2.634783763878096111e-02,1.109105587005615234e+01,1.641206184261384260e-01,1.155591906703517679e+01
2.681527994004637844e-02,1.045315551757812500e+01,1.566888368760279704e-01,1.051387839109847988e+01
2.729101522945025227e-02,9.852003097534179688e+00,1.498188196153523999e-01,9.593159112762091212e+00
2.777519063456760501e-02,9.285318374633789062e+00,1.434982084900147670e-01,8.807722623572844967e+00
2.826795589319353735e-02,8.751037597656250000e+00,1.376225705465063676e-01,9.074334373923782948e+00
2.876946339965144941e-02,8.247230529785156250e+00,1.321790962163174321e-01,8.572180854885308676e+00
2.927986825192328488e-02,7.772066116333007812e+00,1.271932824622260538e-01,7.800726924326379041e+00
2.979932829961547472e-02,7.323907852172851562e+00,1.225187077153296472e-01,7.186608065016763192e+00
3.032800419277615483e-02,6.901187896728515625e+00,1.183052165695922531e-01,6.522682038147575412e+00
3.086605943157845824e-02,6.502468109130859375e+00,1.142870221744358844e-01,6.729497004543311789e+00
3.141366041688492539e-02,6.126409530639648438e+00,1.106406956114730222e-01,6.380257252671599488e+00
